Model,Task,Avg_Combined_Acc,Std_Combined_Acc,Avg_HC_Acc,Avg_PD_Acc
cnn,CrossArms,0.8709,0.0127,0.8988,0.8431
cnn,DrinkGlas,0.8617,0.0105,0.9008,0.8226
cnn,Entrainment,0.7836,0.1094,0.8076,0.7597
cnn,HoldWeight,0.8991,0.0288,0.9182,0.8800
cnn,LiftHold,0.8992,0.0125,0.9191,0.8793
cnn,PointFinger,0.8058,0.0402,0.8214,0.7901
cnn,Relaxed,0.9357,0.0042,0.9582,0.9132
cnn,StretchHold,0.8883,0.0177,0.9161,0.8606
cnn,TouchIndex,0.8394,0.0265,0.8701,0.8088
cnn,TouchNose,0.7177,0.0225,0.7111,0.7243
lstm,CrossArms,0.9151,0.0073,0.9222,0.9080
lstm,DrinkGlas,0.9154,0.0029,0.9181,0.9127
lstm,Entrainment,0.9601,0.0023,0.9643,0.9558
lstm,HoldWeight,0.9145,0.0049,0.9181,0.9108
lstm,LiftHold,0.9147,0.0016,0.9222,0.9072
lstm,PointFinger,0.8998,0.0130,0.9110,0.8886
lstm,Relaxed,0.9547,0.0063,0.9617,0.9477
lstm,StretchHold,0.9154,0.0031,0.9182,0.9127
lstm,TouchIndex,0.8807,0.0205,0.8925,0.8689
lstm,TouchNose,0.8278,0.0223,0.8516,0.8041
