Model,Task,Fold,HC_vs_PD_Acc,PD_vs_DD_Acc,Combined_Acc
cnn,CrossArms,1,0.8929,0.8009,0.8469
cnn,CrossArms,2,0.8673,0.8889,0.8781
cnn,CrossArms,3,0.9184,0.8287,0.8735
cnn,CrossArms,4,0.8990,0.8451,0.8720
cnn,CrossArms,5,0.9162,0.8519,0.8840
cnn,DrinkGlas,1,0.9031,0.8287,0.8659
cnn,DrinkGlas,2,0.9133,0.8241,0.8687
cnn,DrinkGlas,3,0.8673,0.8241,0.8457
cnn,DrinkGlas,4,0.9091,0.7981,0.8536
cnn,DrinkGlas,5,0.9110,0.8380,0.8745
cnn,Entrainment,1,0.9079,0.8729,0.8904
cnn,Entrainment,2,0.8509,0.8305,0.8407
cnn,Entrainment,3,0.7193,0.6356,0.6774
cnn,Entrainment,4,0.6413,0.6142,0.6278
cnn,Entrainment,5,0.9186,0.8453,0.8819
cnn,HoldWeight,1,0.9337,0.8426,0.8881
cnn,HoldWeight,2,0.9184,0.9028,0.9106
cnn,HoldWeight,3,0.9184,0.9167,0.9175
cnn,HoldWeight,4,0.8990,0.7981,0.8486
cnn,HoldWeight,5,0.9215,0.9398,0.9306
cnn,LiftHold,1,0.9082,0.8935,0.9008
cnn,LiftHold,2,0.9235,0.8889,0.9062
cnn,LiftHold,3,0.9235,0.8935,0.9085
cnn,LiftHold,4,0.9242,0.8873,0.9058
cnn,LiftHold,5,0.9162,0.8333,0.8748
cnn,PointFinger,1,0.7449,0.7593,0.7521
cnn,PointFinger,2,0.8520,0.8009,0.8265
cnn,PointFinger,3,0.8469,0.7917,0.8193
cnn,PointFinger,4,0.7626,0.7746,0.7686
cnn,PointFinger,5,0.9005,0.8241,0.8623
cnn,Relaxed,1,0.9408,0.9258,0.9333
cnn,Relaxed,2,0.9583,0.9216,0.9400
cnn,Relaxed,3,0.9627,0.9153,0.9390
cnn,Relaxed,4,0.9630,0.8944,0.9287
cnn,Relaxed,5,0.9661,0.9089,0.9375
cnn,StretchHold,1,0.9133,0.8796,0.8964
cnn,StretchHold,2,0.9133,0.8287,0.8710
cnn,StretchHold,3,0.9133,0.8935,0.9034
cnn,StretchHold,4,0.9242,0.8028,0.8635
cnn,StretchHold,5,0.9162,0.8981,0.9072
cnn,TouchIndex,1,0.8010,0.8102,0.8056
cnn,TouchIndex,2,0.8622,0.8148,0.8385
cnn,TouchIndex,3,0.8418,0.7917,0.8168
cnn,TouchIndex,4,0.9343,0.8216,0.8780
cnn,TouchIndex,5,0.9110,0.8056,0.8583
cnn,TouchNose,1,0.6837,0.6759,0.6798
cnn,TouchNose,2,0.7092,0.7130,0.7111
cnn,TouchNose,3,0.7500,0.7407,0.7454
cnn,TouchNose,4,0.7374,0.7324,0.7349
cnn,TouchNose,5,0.6754,0.7593,0.7173
lstm,CrossArms,1,0.9337,0.8935,0.9136
lstm,CrossArms,2,0.9184,0.9167,0.9175
lstm,CrossArms,3,0.9184,0.9120,0.9152
lstm,CrossArms,4,0.9192,0.8873,0.9033
lstm,CrossArms,5,0.9215,0.9306,0.9260
lstm,DrinkGlas,1,0.9133,0.9120,0.9127
lstm,DrinkGlas,2,0.9184,0.9213,0.9198
lstm,DrinkGlas,3,0.9133,0.9167,0.9150
lstm,DrinkGlas,4,0.9242,0.9108,0.9175
lstm,DrinkGlas,5,0.9215,0.9028,0.9121
lstm,Entrainment,1,0.9605,0.9555,0.9580
lstm,Entrainment,2,0.9671,0.9576,0.9624
lstm,Entrainment,3,0.9627,0.9555,0.9591
lstm,Entrainment,4,0.9652,0.9612,0.9632
lstm,Entrainment,5,0.9661,0.9492,0.9576
lstm,HoldWeight,1,0.9184,0.9167,0.9175
lstm,HoldWeight,2,0.9184,0.9167,0.9175
lstm,HoldWeight,3,0.9133,0.9120,0.9127
lstm,HoldWeight,4,0.9192,0.8920,0.9056
lstm,HoldWeight,5,0.9215,0.9167,0.9191
lstm,LiftHold,1,0.9184,0.9074,0.9129
lstm,LiftHold,2,0.9286,0.9028,0.9157
lstm,LiftHold,3,0.9184,0.9074,0.9129
lstm,LiftHold,4,0.9192,0.9108,0.9150
lstm,LiftHold,5,0.9267,0.9074,0.9171
lstm,PointFinger,1,0.8776,0.8750,0.8763
lstm,PointFinger,2,0.9184,0.9028,0.9106
lstm,PointFinger,3,0.9082,0.8935,0.9008
lstm,PointFinger,4,0.9242,0.9014,0.9128
lstm,PointFinger,5,0.9267,0.8704,0.8985
lstm,Relaxed,1,0.9649,0.9555,0.9602
lstm,Relaxed,2,0.9649,0.9555,0.9602
lstm,Relaxed,3,0.9627,0.9555,0.9591
lstm,Relaxed,4,0.9500,0.9440,0.9470
lstm,Relaxed,5,0.9661,0.9280,0.9470
lstm,StretchHold,1,0.9184,0.9120,0.9152
lstm,StretchHold,2,0.9184,0.9120,0.9152
lstm,StretchHold,3,0.9235,0.9120,0.9178
lstm,StretchHold,4,0.9091,0.9108,0.9099
lstm,StretchHold,5,0.9215,0.9167,0.9191
lstm,TouchIndex,1,0.8724,0.8657,0.8691
lstm,TouchIndex,2,0.9133,0.8704,0.8918
lstm,TouchIndex,3,0.9133,0.9028,0.9080
lstm,TouchIndex,4,0.8838,0.8122,0.8480
lstm,TouchIndex,5,0.8796,0.8935,0.8865
lstm,TouchNose,1,0.8469,0.8009,0.8239
lstm,TouchNose,2,0.8571,0.7963,0.8267
lstm,TouchNose,3,0.8878,0.8519,0.8698
lstm,TouchNose,4,0.8232,0.8028,0.8130
lstm,TouchNose,5,0.8429,0.7685,0.8057
