epoch,train_loss,val_loss,train_accuracy,train_precision_avg,train_recall_avg,train_f1_avg,train_precision_per_class,train_recall_per_class,train_f1_per_class,train_support_per_class,train_confusion_matrix,val_accuracy,val_precision_avg,val_recall_avg,val_f1_avg,val_precision_per_class,val_recall_per_class,val_f1_per_class,val_support_per_class,val_confusion_matrix
1,0.5587199790100766,0.34013517099921986,0.6665419161676647,0.6756945873450092,0.6665419161676647,0.6583912673307353,0.643061|0.711183,0.808908|0.511719,0.716513|0.595184,5568|5120,4504|1064|2500|2620,0.8263677811550152,0.8292557883656814,0.8263677811550152,0.8250152856193746,0.805999|0.856338,0.891949|0.750000,0.846799|0.799649,1416|1216,1263|153|304|912
2,0.3442470294415441,0.5832604409779533,0.8295284431137725,0.8465428523086146,0.8295284431137725,0.8263796499841481,0.775603|0.923690,0.946659|0.702148,0.852637|0.797825,5568|5120,5271|297|1525|3595,0.7868541033434651,0.7870077178657469,0.7868541033434651,0.7860998951548768,0.784810|0.789567,0.831921|0.734375,0.807679|0.760971,1416|1216,1178|238|323|893
3,0.3051065588608766,0.24832110359507092,0.8561938622754491,0.8751077734537135,0.8561938622754491,0.8535261116909496,0.796441|0.960658,0.972522|0.729688,0.875718|0.829393,5568|5120,5415|153|1384|3736,0.8844984802431611,0.9049127023397187,0.8844984802431611,0.8818466596364989,0.823256|1.000000,1.000000|0.750000,0.903061|0.857143,1416|1216,1416|0|304|912
4,0.2627100659231854,0.20885353308107893,0.8822043413173652,0.8937864651049789,0.8822043413173652,0.880828417794373,0.830902|0.962174,0.971624|0.784961,0.895770|0.864580,5568|5120,5410|158|1101|4019,0.9259118541033434,0.9341012264948034,0.9259118541033434,0.9251207714899035,0.880848|0.996113,0.997175|0.842928,0.935409|0.913140,1416|1216,1412|4|191|1025
5,0.2700826762260025,0.23777767333943964,0.891373502994012,0.8984171189223267,0.891373502994012,0.8905326880619403,0.849485|0.951631,0.961925|0.814648,0.902215|0.877828,5568|5120,5356|212|949|4171,0.8966565349544073,0.903980498530736,0.8966565349544073,0.8955441815241731,0.856608|0.959144,0.970339|0.810855,0.909934|0.878788,1416|1216,1374|42|230|986
6,0.24136984762218264,0.18748707134844894,0.8988585329341318,0.9075944195918076,0.8988585329341318,0.8979530222116062,0.852032|0.968019,0.975216|0.815820,0.909472|0.885427,5568|5120,5430|138|943|4177,0.9259118541033434,0.9339125535374379,0.9259118541033434,0.9251334541490878,0.881324|0.995150,0.996469|0.843750,0.935366|0.913218,1416|1216,1411|5|190|1026
7,0.20731872027246362,0.18075468757395016,0.9088697604790419,0.9173209903314119,0.9088697604790419,0.908095416634651,0.861846|0.977650,0.982579|0.828711,0.918261|0.897040,5568|5120,5471|97|877|4243,0.9133738601823708,0.9251577973142231,0.9133738601823708,0.9121375597784718,0.861754|0.998990,0.999294|0.813322,0.925441|0.896646,1416|1216,1415|1|227|989
8,0.19284999867280325,0.16947027725183358,0.9140157185628742,0.9232081728385969,0.9140157185628742,0.9132459087996911,0.864742|0.986790,0.989763|0.831641,0.923038|0.902597,5568|5120,5511|57|862|4258,0.9262917933130699,0.9343987822935204,0.9262917933130699,0.9255110880511278,0.881398|0.996117,0.997175|0.843750,0.935719|0.913624,1416|1216,1412|4|190|1026
9,0.19921264494968277,0.26177093285625264,0.9117702095808383,0.9201421708077521,0.9117702095808383,0.9110315867406066,0.864690|0.980446,0.984734|0.832422,0.920816|0.900391,5568|5120,5483|85|858|4262,0.888677811550152,0.889908815844082,0.888677811550152,0.8882594365367835,0.873090|0.909494,0.927966|0.842928,0.899692|0.874947,1416|1216,1314|102|191|1025
10,0.18766754327548874,0.16228818413564713,0.9150449101796407,0.9241473083982787,0.9150449101796407,0.9142921386744393,0.865892|0.987500,0.990302|0.833203,0.923928|0.903814,5568|5120,5514|54|854|4266,0.9270516717325228,0.9353736960214392,0.9270516717325228,0.9262664810758867,0.881546|0.998054,0.998588|0.843750,0.936424|0.914439,1416|1216,1414|2|190|1026
11,0.18683385263141403,0.21156577690173003,0.9164483532934131,0.9253759476048032,0.9164483532934131,0.9157217694518636,0.867589|0.988219,0.990841|0.835547,0.925128|0.905493,5568|5120,5517|51|842|4278,0.881838905775076,0.8824275433746951,0.881838905775076,0.8815189688073328,0.872054|0.894507,0.914548|0.843750,0.892796|0.868388,1416|1216,1295|121|190|1026
12,0.18308345903443474,0.17167100007251157,0.9141092814371258,0.9231838180144458,0.9141092814371258,0.9133482194968451,0.865107|0.986343,0.989404|0.832227,0.923090|0.902754,5568|5120,5509|59|859|4261,0.9270516717325228,0.9353736960214392,0.9270516717325228,0.9262664810758867,0.881546|0.998054,0.998588|0.843750,0.936424|0.914439,1416|1216,1414|2|190|1026
13,0.17989517713331768,0.16449526204901227,0.9180389221556886,0.927181885896193,0.9180389221556886,0.9173156886044654,0.868520|0.990976,0.992996|0.836523,0.926596|0.907223,5568|5120,5529|39|837|4283,0.9270516717325228,0.9353736960214392,0.9270516717325228,0.9262664810758867,0.881546|0.998054,0.998588|0.843750,0.936424|0.914439,1416|1216,1414|2|190|1026
