epoch,train_loss,val_loss,train_accuracy,train_precision_avg,train_recall_avg,train_f1_avg,train_precision_per_class,train_recall_per_class,train_f1_per_class,train_support_per_class,train_confusion_matrix,val_accuracy,val_precision_avg,val_recall_avg,val_f1_avg,val_precision_per_class,val_recall_per_class,val_f1_per_class,val_support_per_class,val_confusion_matrix
1,0.5406135901776966,0.35934646633164635,0.6959975864843122,0.7100632778491169,0.6959975864843122,0.6783635780546077,0.755086|0.675024,0.451976|0.885908,0.565474|0.766221,4352|5592,1967|2385|638|4954,0.8258706467661692,0.8662317551316266,0.8258706467661692,0.8147112957890531,1.000000|0.768212,0.588235|1.000000,0.740741|0.868914,1020|1392,600|420|0|1392
2,0.35500004268022994,0.3316268651136037,0.8213998390989542,0.8322003423377571,0.8213998390989542,0.8168268543667727,0.889831|0.787349,0.675551|0.934907,0.768025|0.854807,4352|5592,2940|1412|364|5228,0.8627694859038143,0.8891323995229886,0.8627694859038143,0.8567711070039696,1.000000|0.807893,0.675490|1.000000,0.806319|0.893740,1020|1392,689|331|0|1392
3,0.34561421129622183,0.2903528014390633,0.8374899436846339,0.8462711074822932,0.8374899436846339,0.8340294536905959,0.899299|0.805002,0.707950|0.938305,0.792235|0.866557,4352|5592,3081|1271|345|5247,0.8843283582089553,0.8854410304534424,0.8843283582089553,0.8833882985460494,0.901408|0.873741,0.815686|0.934626,0.856408|0.903159,1020|1392,832|188|91|1301
4,0.298818938275263,0.3801400913246747,0.8680611423974256,0.8792031897377978,0.8680611423974256,0.8651888700824699,0.945487|0.827618,0.741268|0.966738,0.831015|0.891785,4352|5592,3226|1126|186|5406,0.8146766169154229,0.8141114934048364,0.8146766169154229,0.8142385252778785,0.790274|0.831579,0.764706|0.851293,0.777280|0.841321,1020|1392,780|240|207|1185
5,0.2743639153585251,0.27897030628960706,0.8841512469831054,0.892549129981515,0.8841512469831054,0.8821409765825583,0.950958|0.847092,0.775276|0.968884,0.854177|0.903904,4352|5592,3374|978|174|5418,0.8594527363184079,0.8594579065059751,0.8594527363184079,0.8586402975006135,0.859556|0.859386,0.798039|0.904454,0.827656|0.881344,1020|1392,814|206|133|1259
6,0.24185636066106844,0.19686546465703125,0.9039621882542237,0.9110624377375949,0.9039621882542237,0.9025555078523289,0.966749|0.867724,0.808364|0.978362,0.880491|0.919728,4352|5592,3518|834|121|5471,0.9228855721393034,0.9298542506462795,0.9228855721393034,0.9216398120822547,0.988290|0.887035,0.827451|0.992816,0.900747|0.936949,1020|1392,844|176|10|1382
7,0.22705847495146145,0.18091682062066836,0.9095937248592116,0.915150292761511,0.9095937248592116,0.9084698822841499,0.964238|0.876948,0.823989|0.976216,0.888614|0.923923,4352|5592,3586|766|133|5459,0.9373963515754561,0.9435228265670996,0.9373963515754561,0.93650461163986,1.000000|0.902139,0.851961|1.000000,0.920064|0.948552,1020|1392,869|151|0|1392
8,0.19786468713280203,0.17083488083605108,0.9226669348350764,0.9291587595483916,0.9226669348350764,0.9216596349358294,0.984582|0.886025,0.836397|0.989807,0.904460|0.935045,4352|5592,3640|712|57|5535,0.9378109452736318,0.9438604642158855,0.9378109452736318,0.936932825404577,1.000000|0.902724,0.852941|1.000000,0.920635|0.948875,1020|1392,870|150|0|1392
9,0.19472595541747903,0.19709289960306267,0.9246781979082864,0.9307079184555485,0.9246781979082864,0.9237458990113948,0.984144|0.889121,0.841452|0.989449,0.907222|0.936606,4352|5592,3662|690|59|5533,0.9378109452736318,0.9438604642158855,0.9378109452736318,0.936932825404577,1.000000|0.902724,0.852941|1.000000,0.920635|0.948875,1020|1392,870|150|0|1392
10,0.1881060767402527,0.19671552197943473,0.9272928399034593,0.9337691398147535,0.9272928399034593,0.9263616065027706,0.989744|0.890207,0.842601|0.993205,0.910264|0.938889,4352|5592,3667|685|38|5554,0.914179104477612,0.9252891265996471,0.914179104477612,0.9123029738505889,1.000000|0.870544,0.797059|1.000000,0.887070|0.930792,1020|1392,813|207|0|1392
11,0.18583275416274186,0.19839180081055083,0.9294046661303298,0.9355291584583442,0.9294046661303298,0.9285365201403316,0.990064|0.893087,0.847197|0.993383,0.913076|0.940569,4352|5592,3687|665|37|5555,0.9365671641791045,0.9422978153984004,0.9365671641791045,0.9356949314325036,0.996564|0.902534,0.852941|0.997845,0.919176|0.947799,1020|1392,870|150|3|1389
12,0.18529840908261505,0.16639525366240535,0.9315164923572004,0.9377346939716344,0.9315164923572004,0.9306724908772924,0.993016|0.894711,0.849494|0.995351,0.915666|0.942352,4352|5592,3697|655|26|5566,0.9378109452736318,0.9438604642158855,0.9378109452736318,0.936932825404577,1.000000|0.902724,0.852941|1.000000,0.920635|0.948875,1020|1392,870|150|0|1392
13,0.18389232378842227,0.1824349870841051,0.9299074818986324,0.936026911659329,0.9299074818986324,0.9290473862136596,0.990604|0.893552,0.847886|0.993741,0.913706|0.940987,4352|5592,3690|662|35|5557,0.9378109452736318,0.9438604642158855,0.9378109452736318,0.936932825404577,1.000000|0.902724,0.852941|1.000000,0.920635|0.948875,1020|1392,870|150|0|1392
14,0.17965885932281264,0.2008666018473691,0.9309131134352373,0.9372900071745942,0.9309131134352373,0.9300468837711154,0.993271|0.893723,0.847886|0.995529,0.914838|0.941883,4352|5592,3690|662|25|5567,0.9253731343283582,0.9339181952831263,0.9253731343283582,0.924028154902645,1.000000|0.885496,0.823529|1.000000,0.903226|0.939271,1020|1392,840|180|0|1392
15,0.18578878635250684,0.18418297801038314,0.9302091713596138,0.9361852620873271,0.9302091713596138,0.9293657443922031,0.990086|0.894237,0.849035|0.993383,0.914151|0.941206,4352|5592,3695|657|37|5555,0.9378109452736318,0.9438604642158855,0.9378109452736318,0.936932825404577,1.000000|0.902724,0.852941|1.000000,0.920635|0.948875,1020|1392,870|150|0|1392
16,0.1806507874558221,0.16839699742609057,0.9324215607401448,0.9390105625718833,0.9324215607401448,0.9315615011049747,0.996224|0.894484,0.848805|0.997496,0.916625|0.943186,4352|5592,3694|658|14|5578,0.9378109452736318,0.9438604642158855,0.9378109452736318,0.936932825404577,1.000000|0.902724,0.852941|1.000000,0.920635|0.948875,1020|1392,870|150|0|1392
17,0.17049556340315322,0.17019208000394806,0.9341311343523733,0.9406651450853782,0.9341311343523733,0.9333017119500054,0.997845|0.896164,0.851333|0.998569,0.918785|0.944600,4352|5592,3705|647|8|5584,0.9378109452736318,0.9438604642158855,0.9378109452736318,0.936932825404577,1.000000|0.902724,0.852941|1.000000,0.920635|0.948875,1020|1392,870|150|0|1392
18,0.17729219087341955,0.16881520294680677,0.9335277554304103,0.9399043067852515,0.9335277554304103,0.9327014373635409,0.996236|0.896064,0.851333|0.997496,0.918102|0.944064,4352|5592,3705|647|14|5578,0.9378109452736318,0.9438604642158855,0.9378109452736318,0.936932825404577,1.000000|0.902724,0.852941|1.000000,0.920635|0.948875,1020|1392,870|150|0|1392
