fold,method,task,n_samples,accuracy,precision_avg,recall_avg,f1_avg,precision_cls0,recall_cls0,f1_cls0,support_cls0,precision_cls1,recall_cls1,f1_cls1,support_cls1,TP_cls0,FP_cls0,TN_cls0,FN_cls0,TP_cls1,FP_cls1,TN_cls1,FN_cls1
1,knn_k5,HC_vs_PD,2480,0.8032,0.8032,0.8032,0.8019,0.803,0.7307,0.7652,1088,0.8034,0.8599,0.8307,1392,795,195,1197,293,1197,293,795,195
1,knn_k15,HC_vs_PD,2480,0.7996,0.8009,0.7996,0.7974,0.8134,0.705,0.7553,1088,0.7912,0.8736,0.8303,1392,767,176,1216,321,1216,321,767,176
1,knn_k25,HC_vs_PD,2480,0.8012,0.8033,0.8012,0.7987,0.8216,0.6985,0.7551,1088,0.7891,0.8815,0.8327,1392,760,165,1227,328,1227,328,760,165
1,knn_k5,PD_vs_DD,2672,0.7493,0.7565,0.7493,0.746,0.7196,0.8499,0.7793,1392,0.7967,0.6398,0.7097,1280,1183,461,819,209,819,209,1183,461
1,knn_k15,PD_vs_DD,2672,0.759,0.7746,0.759,0.7536,0.7159,0.8908,0.7939,1392,0.8383,0.6156,0.7099,1280,1240,492,788,152,788,152,1240,492
1,knn_k25,PD_vs_DD,2672,0.7541,0.7732,0.7541,0.7476,0.708,0.8987,0.792,1392,0.8442,0.5969,0.6993,1280,1251,516,764,141,764,141,1251,516
1,logreg,HC_vs_PD,2480,0.8734,0.8734,0.8734,0.873,0.8743,0.8309,0.852,1088,0.8728,0.9066,0.8894,1392,904,130,1262,184,1262,184,904,130
1,logreg,PD_vs_DD,2672,0.8585,0.8609,0.8585,0.858,0.8353,0.9073,0.8698,1392,0.8888,0.8055,0.8451,1280,1263,249,1031,129,1031,129,1263,249
2,knn_k5,HC_vs_PD,2480,0.7911,0.7941,0.7911,0.7879,0.816,0.6765,0.7397,1088,0.7769,0.8807,0.8256,1392,736,166,1226,352,1226,352,736,166
2,knn_k15,HC_vs_PD,2480,0.7923,0.7961,0.7923,0.7888,0.8223,0.6719,0.7395,1088,0.7756,0.8865,0.8274,1392,731,158,1234,357,1234,357,731,158
2,knn_k25,HC_vs_PD,2480,0.7887,0.7939,0.7887,0.7845,0.8264,0.6562,0.7316,1088,0.7686,0.8922,0.8258,1392,714,150,1242,374,1242,374,714,150
2,knn_k5,PD_vs_DD,2672,0.7867,0.7904,0.7867,0.7852,0.7628,0.857,0.8072,1392,0.8204,0.7102,0.7613,1280,1193,371,909,199,909,199,1193,371
