Model,Task,Fold,HC_vs_PD_Acc,PD_vs_DD_Acc,Combined_Acc
cnn,CrossArms,1,0.9132,0.8559,0.8846
cnn,CrossArms,2,0.9012,0.8842,0.8927
cnn,CrossArms,3,0.9192,0.8814,0.9003
cnn,CrossArms,4,0.9199,0.8822,0.9010
cnn,CrossArms,5,0.9259,0.9011,0.9135
cnn,DrinkGlas,1,0.9012,0.8559,0.8786
cnn,DrinkGlas,2,0.8503,0.8729,0.8616
cnn,DrinkGlas,3,0.8084,0.8192,0.8138
cnn,DrinkGlas,4,0.9110,0.8362,0.8736
cnn,DrinkGlas,5,0.9136,0.8757,0.8946
cnn,Entrainment,1,0.6460,0.5670,0.6065
cnn,Entrainment,2,0.6576,0.6340,0.6458
cnn,Entrainment,3,0.7041,0.6241,0.6641
cnn,Entrainment,4,0.6120,0.5851,0.5986
cnn,Entrainment,5,0.6831,0.6551,0.6691
cnn,HoldWeight,1,0.9581,0.8927,0.9254
cnn,HoldWeight,2,0.9371,0.8927,0.9149
cnn,HoldWeight,3,0.9192,0.8757,0.8974
cnn,HoldWeight,4,0.9288,0.8333,0.8811
cnn,HoldWeight,5,0.9414,0.9379,0.9396
cnn,LiftHold,1,0.9371,0.8870,0.9121
cnn,LiftHold,2,0.9192,0.9011,0.9101
cnn,LiftHold,3,0.9461,0.9209,0.9335
cnn,LiftHold,4,0.9436,0.8793,0.9115
cnn,LiftHold,5,0.9475,0.8927,0.9201
cnn,PointFinger,1,0.6287,0.5876,0.6082
cnn,PointFinger,2,0.7156,0.6497,0.6826
cnn,PointFinger,3,0.7006,0.6780,0.6893
cnn,PointFinger,4,0.6825,0.6293,0.6559
cnn,PointFinger,5,0.7068,0.6073,0.6571
cnn,Relaxed,1,0.6951,0.6464,0.6707
cnn,Relaxed,2,0.8101,0.7730,0.7915
cnn,Relaxed,3,0.8075,0.7742,0.7908
cnn,Relaxed,4,0.7375,0.6885,0.7130
cnn,Relaxed,5,0.7710,0.7382,0.7546
cnn,StretchHold,1,0.9491,0.8644,0.9068
cnn,StretchHold,2,0.9311,0.8418,0.8865
cnn,StretchHold,3,0.9401,0.8531,0.8966
cnn,StretchHold,4,0.9703,0.8707,0.9205
cnn,StretchHold,5,0.9475,0.9181,0.9328
cnn,TouchIndex,1,0.6826,0.5763,0.6295
cnn,TouchIndex,2,0.7006,0.6356,0.6681
cnn,TouchIndex,3,0.6976,0.6808,0.6892
cnn,TouchIndex,4,0.7923,0.6207,0.7065
cnn,TouchIndex,5,0.7963,0.6497,0.7230
cnn,TouchNose,1,0.7695,0.5932,0.6813
cnn,TouchNose,2,0.6737,0.6638,0.6687
cnn,TouchNose,3,0.6766,0.6864,0.6815
cnn,TouchNose,4,0.6884,0.5805,0.6344
cnn,TouchNose,5,0.7623,0.6356,0.6990
lstm,CrossArms,1,0.9341,0.9040,0.9190
lstm,CrossArms,2,0.9341,0.9124,0.9233
lstm,CrossArms,3,0.9461,0.9209,0.9335
lstm,CrossArms,4,0.9288,0.8937,0.9112
lstm,CrossArms,5,0.9444,0.9209,0.9327
lstm,DrinkGlas,1,0.9042,0.8955,0.8998
lstm,DrinkGlas,2,0.9222,0.9068,0.9145
lstm,DrinkGlas,3,0.8802,0.8785,0.8794
lstm,DrinkGlas,4,0.8872,0.8937,0.8905
lstm,DrinkGlas,5,0.9012,0.8927,0.8969
lstm,Entrainment,1,0.6628,0.6253,0.6441
lstm,Entrainment,2,0.5620,0.6129,0.5875
lstm,Entrainment,3,0.7235,0.6675,0.6955
lstm,Entrainment,4,0.5992,0.5460,0.5726
lstm,Entrainment,5,0.5393,0.6303,0.5848
lstm,HoldWeight,1,0.9521,0.9407,0.9464
lstm,HoldWeight,2,0.9491,0.9379,0.9435
lstm,HoldWeight,3,0.9461,0.9379,0.9420
lstm,HoldWeight,4,0.9436,0.8879,0.9158
lstm,HoldWeight,5,0.9537,0.9379,0.9458
lstm,LiftHold,1,0.9521,0.9435,0.9478
lstm,LiftHold,2,0.9461,0.9322,0.9392
lstm,LiftHold,3,0.9461,0.9379,0.9420
lstm,LiftHold,4,0.9407,0.9310,0.9358
lstm,LiftHold,5,0.9475,0.9153,0.9314
lstm,PointFinger,1,0.5719,0.6158,0.5938
lstm,PointFinger,2,0.6287,0.5734,0.6011
lstm,PointFinger,3,0.5838,0.5932,0.5885
lstm,PointFinger,4,0.6261,0.6006,0.6133
lstm,PointFinger,5,0.6543,0.6271,0.6407
lstm,Relaxed,1,0.6938,0.6774,0.6856
lstm,Relaxed,2,0.8941,0.8511,0.8726
lstm,Relaxed,3,0.6473,0.5831,0.6152
lstm,Relaxed,4,0.7746,0.6494,0.7120
lstm,Relaxed,5,0.7377,0.7010,0.7193
lstm,StretchHold,1,0.9521,0.9350,0.9436
lstm,StretchHold,2,0.9491,0.9322,0.9407
lstm,StretchHold,3,0.9371,0.9294,0.9333
lstm,StretchHold,4,0.9496,0.9109,0.9302
lstm,StretchHold,5,0.9537,0.9379,0.9458
lstm,TouchIndex,1,0.6108,0.6158,0.6133
lstm,TouchIndex,2,0.6557,0.6469,0.6513
lstm,TouchIndex,3,0.6527,0.6525,0.6526
lstm,TouchIndex,4,0.6261,0.6379,0.6320
lstm,TouchIndex,5,0.6728,0.6497,0.6613
lstm,TouchNose,1,0.6497,0.6102,0.6299
lstm,TouchNose,2,0.6737,0.5424,0.6080
lstm,TouchNose,3,0.6497,0.6356,0.6426
lstm,TouchNose,4,0.5964,0.6466,0.6215
lstm,TouchNose,5,0.6235,0.6017,0.6126
